Age,Overall,Wage,Agility,Stamina,Penalties
25,84,€72K,86,83,74
26,84,€185K,81,84,45
24,84,€93K,82,79,75
25,84,€125K,82,85,71
27,84,€72K,67,36,16
26,84,€88K,61,66,41
25,84,€105K,70,30,21
30,84,€150K,91,78,65
30,84,€45K,87,75,82
26,84,€115K,52,43,23
29,84,€165K,44,84,64
28,84,€74K,43,34,20
28,84,€51K,71,77,50
28,84,€165K,67,89,63
27,84,€175K,78,69,76
31,84,€105K,85,91,62
30,84,€125K,92,73,73
32,84,€160K,67,83,76
29,84,€175K,89,85,70
29,84,€42K,62,41,15
30,84,€31K,79,74,78
29,84,€77K,78,86,81
31,84,€75K,79,73,74
34,84,€25K,77,66,84
30,84,€140K,60,69,24
31,84,€41K,51,37,25
32,84,€115K,76,68,81
31,84,€78K,62,34,26
32,84,€88K,53,55,37
30,84,€53K,92,75,72
37,84,€95K,52,53,60
34,84,€80K,91,65,74
34,84,€110K,87,64,78
21,83,€155K,90,73,75
21,83,€130K,92,84,78
26,83,€51K,85,86,77
26,83,€43K,77,76,56
26,83,€60K,55,56,77
22,83,€82K,74,80,50
23,83,€120K,89,82,58
23,83,€85K,75,87,70
22,83,€64K,87,79,68
22,83,€85K,87,76,70
22,83,€67K,48,63,38
24,83,€18K,76,76,71
22,83,€70K,81,83,72
23,83,€91K,79,82,69
23,83,€85K,76,86,60
26,83,€28K,87,83,74
25,83,€28K,85,86,73
27,83,€205K,79,90,56
24,83,€20K,88,74,74
26,83,€53K,70,72,73
29,83,€22K,52,78,47
24,83,€165K,81,82,59
23,83,€84K,41,37,24
26,83,€49K,76,77,65
22,83,€85K,87,68,68
24,83,€78K,55,45,41
27,83,€67K,61,58,37
24,83,€125K,61,79,44
24,83,€115K,86,77,72
24,83,€91K,80,69,63
25,83,€110K,89,72,53
25,83,€115K,94,75,74
26,83,€21K,58,83,52
28,83,€180K,60,78,45
25,83,€25K,50,31,21
27,83,€87K,82,95,53
30,83,€64K,33,81,72
26,83,€170K,69,85,57
27,83,€57K,84,78,77
28,83,€22K,77,86,76
27,83,€74K,91,88,64
28,83,€41K,59,39,22
28,83,€42K,45,39,22
28,83,€125K,80,89,54
29,83,€145K,87,83,72
27,83,€130K,64,90,64
33,83,€70K,42,32,23
30,83,€86K,34,67,39
28,83,€66K,65,79,77
29,83,€26K,32,82,88
26,83,€29K,86,76,68
27,83,€55K,71,66,92
30,83,€63K,65,85,58
28,83,€64K,85,82,79
31,83,€130K,69,66,75
29,83,€38K,39,32,21
30,83,€160K,84,71,81
31,83,€55K,55,32,25
30,83,€74K,61,45,32
29,83,€35K,55,45,24
29,83,€94K,53,74,52
29,83,€82K,65,86,52
31,83,€64K,78,80,61
33,83,€51K,52,31,11
31,83,€140K,62,56,78
30,83,€120K,79,70,63
35,83,€72K,84,58,78
33,83,€33K,35,31,13
34,83,€80K,64,74,75
35,83,€56K,50,34,24
26,82,€30K,39,20,18
18,82,€11K,56,74,40
22,82,€59K,69,86,46
21,82,€125K,79,78,69
19,82,€23K,64,34,24
30,82,€46K,72,93,77
34,82,€39K,61,76,62
30,82,€32K,34,29,14
23,82,€59K,94,87,66
21,82,€36K,85,81,69
22,82,€98K,83,85,48
21,82,€140K,92,74,68
23,82,€21K,40,42,25
22,82,€53K,70,82,34
23,82,€135K,62,73,43
27,82,€54K,82,76,88
24,82,€98K,78,89,55
28,82,€33K,67,88,58
24,82,€110K,85,80,72
22,82,€68K,82,73,54
23,82,€95K,59,67,36
23,82,€94K,83,55,59
24,82,€95K,78,89,46
23,82,€84K,60,75,34
25,82,€59K,72,87,46
25,82,€140K,84,87,65
31,82,€96K,75,86,81
24,82,€58K,79,83,77
26,82,€67K,81,74,66
25,82,€140K,86,87,65
29,82,€27K,69,61,67
28,82,€40K,93,84,75
25,82,€110K,59,60,40
27,82,€73K,87,90,76
25,82,€77K,52,68,44
26,82,€87K,63,92,65
27,82,€41K,60,69,43
25,82,€46K,76,85,45
25,82,€165K,80,67,67
27,82,€44K,69,72,51
25,82,€135K,66,68,70
29,82,€135K,48,40,21
27,82,€28K,91,69,76
27,82,€33K,80,79,69
26,82,€26K,80,72,69
25,82,€78K,88,76,66
25,82,€67K,79,73,56
28,82,€31K,89,79,74
27,82,€32K,72,67,52
27,82,€19K,32,81,65
26,82,€44K,65,73,80
27,82,€1K,79,87,53
29,82,€43K,56,72,46
26,82,€61K,73,90,60
26,82,€46K,50,44,20
26,82,€67K,86,73,77
26,82,€115K,63,68,54
29,82,€84K,79,62,75
30,82,€140K,82,70,66
28,82,€115K,77,84,68
27,82,€50K,49,36,20
30,82,€1K,90,79,72
29,82,€77K,36,86,57
30,82,€1K,92,78,80
27,82,€130K,73,89,75
27,82,€99K,74,88,66
32,82,€73K,63,84,74
28,82,€125K,68,86,79
31,82,€15K,94,77,73
29,82,€120K,70,78,77
30,82,€22K,87,69,71
28,82,€125K,70,91,64
30,82,€45K,74,71,90
33,82,€59K,67,88,45
29,82,€18K,57,90,56
32,82,€57K,54,84,48
32,82,€1K,57,80,49
27,82,€130K,80,85,74
31,82,€73K,29,74,26
31,82,€140K,57,62,83
31,82,€73K,58,78,45
31,82,€35K,81,84,70
31,82,€44K,54,62,69
32,82,€17K,35,68,57
31,82,€45K,52,34,19
32,82,€15K,35,29,21
32,82,€115K,65,62,51
31,82,€52K,57,31,21
32,82,€98K,76,75,72
35,82,€62K,84,74,70
36,82,€12K,71,70,88
37,82,€29K,50,60,82
36,82,€60K,46,32,23
37,82,€10K,62,43,24
20,81,€110K,88,79,74
30,81,€40K,89,67,74
20,81,€54K,86,76,71
22,81,€49K,69,76,40
21,81,€19K,84,74,45
24,81,€125K,88,91,38
22,81,€36K,79,77,46
22,81,€64K,73,73,67
24,81,€105K,65,72,46
21,81,€120K,82,75,55
22,81,€22K,91,80,64
30,81,€33K,78,82,76
26,81,€73K,82,75,67
24,81,€57K,90,79,70
25,81,€64K,74,84,69
24,81,€31K,80,75,64
23,81,€54K,87,74,55
22,81,€91K,61,69,36
25,81,€71K,81,79,66
23,81,€36K,31,23,21
24,81,€58K,76,87,40
24,81,€64K,79,72,51
24,81,€64K,82,84,60
22,81,€14K,85,83,51
24,81,€54K,88,72,44
25,81,€60K,60,93,54
25,81,€14K,91,72,70
31,81,€45K,73,66,80
25,81,€40K,79,82,65
25,81,€87K,70,85,54
25,81,€36K,65,62,52
24,81,€71K,68,73,79
24,81,€54K,75,84,65
23,81,€105K,68,81,50
27,81,€35K,66,93,47
26,81,€57K,67,90,52
25,81,€40K,91,77,83
28,81,€76K,86,73,57
27,81,€48K,76,76,79
27,81,€68K,72,88,76
27,81,€27K,36,34,20
30,81,€41K,70,64,78
25,81,€76K,73,88,72
24,81,€59K,83,65,71
28,81,€65K,74,80,74
25,81,€115K,49,80,63
29,81,€26K,82,69,71
29,81,€76K,80,87,76
25,81,€77K,92,75,68
28,81,€115K,50,68,52
30,81,€56K,78,84,58
26,81,€130K,84,75,65
25,81,€18K,90,74,68
25,81,€61K,53,28,25
26,81,€42K,59,74,53
28,81,€140K,79,87,79
27,81,€19K,83,85,75
25,81,€77K,85,68,67
28,81,€130K,55,71,52
31,81,€25K,69,86,78
29,81,€65K,87,82,80
25,81,€90K,86,73,73
28,81,€1K,75,74,74
29,81,€43K,70,78,80
28,81,€59K,64,67,43
29,81,€84K,83,73,90
32,81,€52K,68,45,24
30,81,€1K,60,61,56
29,81,€23K,40,76,61
29,81,€69K,63,83,34
33,81,€86K,86,73,68
31,81,€32K,68,65,71
31,81,€65K,77,68,67
33,81,€57K,66,77,65
31,81,€74K,74,86,83
29,81,€46K,79,90,64
26,81,€105K,75,78,75
27,81,€92K,69,78,57
29,81,€15K,81,74,72
30,81,€28K,66,81,68
32,81,€120K,72,79,55
33,81,€70K,52,25,22
31,81,€85K,76,78,70
33,81,€74K,74,69,72
35,81,€39K,71,66,84
32,81,€56K,59,68,83
32,81,€1K,82,76,73
28,81,€20K,66,94,64
33,81,€41K,83,62,72
31,81,€19K,92,74,72
32,81,€120K,69,91,83
34,81,€18K,52,78,72
36,81,€24K,72,54,75
21,80,€25K,45,71,67
19,80,€32K,78,73,49
21,80,€51K,83,78,60
20,80,€51K,81,79,63
21,80,€31K,75,78,73
22,80,€115K,78,80,62
24,80,€11K,86,85,64
30,80,€34K,83,89,61
34,80,€34K,78,89,61
21,80,€29K,70,71,52
26,80,€80K,42,76,48
27,80,€19K,67,91,71
22,80,€33K,68,77,51
21,80,€50K,67,92,55
22,80,€14K,68,39,27
22,80,€72K,81,80,60
26,80,€16K,84,90,74
21,80,€59K,65,78,62
24,80,€140K,79,81,75
28,80,€19K,59,75,51
24,80,€73K,58,67,30
26,80,€63K,66,81,56
23,80,€85K,64,83,45
22,80,€50K,87,89,55
25,80,€17K,88,78,59
23,80,€65K,82,73,60
26,80,€26K,58,42,24
31,80,€22K,40,28,20
22,80,€65K,84,70,65
22,80,€40K,78,75,67
24,80,€37K,77,74,70
23,80,€33K,79,83,52
24,80,€130K,67,76,55
25,80,€20K,79,91,46
23,80,€47K,79,79,68
26,80,€23K,62,43,23
24,80,€91K,73,85,60
24,80,€89K,78,76,71
24,80,€28K,55,74,67
25,80,€88K,59,68,48
24,80,€ 0,77,79,57
28,80,€1K,60,82,52
22,80,€96K,74,77,53
28,80,€29K,50,64,48
24,80,€41K,68,72,88
25,80,€97K,94,68,57
30,80,€30K,94,76,51
26,80,€37K,79,83,53
24,80,€105K,75,66,67
30,80,€24K,88,74,65
29,80,€17K,32,35,13
26,80,€48K,36,37,22
23,80,€85K,82,84,62
26,80,€39K,66,86,54
25,80,€39K,55,40,42
25,80,€51K,29,54,75
25,80,€56K,58,69,52
24,80,€56K,94,70,77
24,80,€73K,52,78,70
26,80,€38K,77,72,46
29,80,€53K,68,79,68
28,80,€1K,72,88,51
25,80,€37K,76,79,56
24,80,€79K,68,79,60
26,80,€42K,74,75,74
26,80,€30K,82,73,56
29,80,€55K,64,76,51
27,80,€24K,85,74,74
26,80,€19K,72,83,76
24,80,€94K,81,82,69
25,80,€82K,73,77,64
26,80,€99K,55,73,42
28,80,€1K,68,82,50
28,80,€34K,70,80,63
28,80,€92K,73,60,85
27,80,€27K,77,91,23
27,80,€15K,66,84,43
28,80,€44K,75,66,65
25,80,€81K,73,77,83
27,80,€65K,75,77,72
27,80,€35K,68,77,50
29,80,€63K,33,70,52
28,80,€22K,72,83,56
27,80,€16K,54,40,27
26,80,€52K,81,60,75
27,80,€30K,69,55,66
28,80,€59K,85,74,77
27,80,€23K,58,83,64
31,80,€48K,63,41,29
25,80,€31K,88,64,61
30,80,€33K,81,68,58
28,80,€37K,77,77,71
27,80,€61K,42,45,17
27,80,€86K,68,78,65
28,80,€50K,68,63,50
28,80,€31K,78,68,90
28,80,€51K,68,79,48
29,80,€61K,34,29,22
27,80,€85K,73,68,57
31,80,€41K,65,81,80
28,80,€45K,41,35,24
34,80,€39K,49,50,75
28,80,€120K,87,87,65
30,80,€110K,78,77,70
31,80,€64K,49,85,51
29,80,€97K,73,77,55
28,80,€35K,83,67,74
31,80,€27K,76,85,61
32,80,€99K,70,74,61
31,80,€30K,70,77,69
32,80,€20K,75,75,62
31,80,€45K,81,75,81
33,80,€13K,87,89,80
31,80,€23K,68,72,76
31,80,€91K,52,35,16
31,80,€21K,68,89,70
32,80,€12K,72,82,79
28,80,€125K,74,55,75
31,80,€30K,66,74,76
30,80,€65K,71,77,71
33,80,€68K,49,76,39
31,80,€51K,70,69,57
32,80,€99K,51,61,53
33,80,€75K,79,85,49
32,80,€37K,63,73,68
34,80,€37K,52,62,57
33,80,€ 0,55,67,79
32,80,€70K,66,71,78
32,80,€46K,62,60,69
32,80,€1K,53,35,10
34,80,€1K,77,86,62
33,80,€53K,74,80,66
36,80,€17K,48,42,21
33,80,€39K,72,53,80
32,80,€22K,87,82,56
34,80,€20K,72,76,60
34,80,€51K,50,33,21
36,80,€27K,71,74,84
33,80,€11K,61,67,77
34,80,€26K,54,30,11
32,80,€13K,66,74,81
34,80,€10K,70,60,74
39,80,€10K,52,28,20
20,79,€1K,77,74,61
21,79,€10K,47,77,45
21,79,€18K,91,73,69
21,79,€13K,86,87,68
21,79,€27K,90,73,57
21,79,€79K,78,78,69
20,79,€54K,79,75,59
21,79,€24K,68,96,82
30,79,€26K,83,80,74
26,79,€24K,66,23,15
30,79,€20K,67,87,72
30,79,€30K,49,62,66
34,79,€38K,82,85,41
26,79,€ 0,36,27,15
22,79,€84K,77,77,80
19,79,€26K,87,74,61
26,79,€21K,32,45,9
21,79,€43K,64,85,48
23,79,€110K,58,75,53
24,79,€1K,78,77,63
20,79,€17K,78,74,59
22,79,€43K,75,76,41
22,79,€61K,82,85,52
29,79,€21K,40,18,23
22,79,€27K,92,92,59
25,79,€38K,79,70,69
29,79,€37K,71,69,68
24,79,€15K,91,87,56
22,79,€43K,77,80,50
23,79,€91K,66,75,55
24,79,€39K,75,80,63
22,79,€27K,78,69,69
26,79,€17K,60,94,57
24,79,€53K,83,68,75
21,79,€31K,93,74,47
26,79,€94K,72,87,59
25,79,€67K,72,71,75
28,79,€32K,77,77,72
28,79,€31K,60,86,59
22,79,€26K,68,83,40
23,79,€55K,75,90,58
23,79,€16K,85,80,71
24,79,€1K,70,90,57
22,79,€53K,89,83,60
23,79,€48K,93,77,71
25,79,€25K,89,91,67
24,79,€43K,72,83,46
23,79,€15K,86,68,72
25,79,€32K,78,81,70
23,79,€55K,68,73,48
28,79,€26K,67,82,65
25,79,€89K,49,79,44
28,79,€58K,62,89,60
27,79,€32K,78,72,80
24,79,€13K,62,36,24
27,79,€56K,58,86,87
26,79,€49K,79,75,71
23,79,€26K,65,70,41
24,79,€120K,82,72,63
25,79,€48K,48,67,41
27,79,€60K,88,91,60
27,79,€26K,67,71,39
23,79,€80K,45,63,59
29,79,€20K,76,88,42
25,79,€44K,57,61,45
25,79,€71K,51,36,19
27,79,€1K,64,68,75
25,79,€32K,67,83,75
23,79,€48K,84,88,64
24,79,€35K,92,78,61
24,79,€29K,75,70,55
25,79,€44K,77,84,51
26,79,€50K,88,93,58
26,79,€28K,65,72,42
28,79,€115K,68,68,64
25,79,€59K,76,79,78
25,79,€68K,75,79,54
27,79,€41K,78,62,73
28,79,€32K,51,75,50
32,79,€23K,59,42,16
26,79,€26K,77,69,35
25,79,€61K,70,91,43
28,79,€41K,83,68,75
26,79,€20K,82,72,70
25,79,€27K,56,91,66
25,79,€28K,67,76,69
25,79,€98K,71,76,84
31,79,€21K,82,70,74
24,79,€27K,67,69,64
28,79,€31K,79,68,65
26,79,€110K,70,82,67
24,79,€89K,66,69,65
26,79,€41K,53,34,25
29,79,€32K,81,73,75
27,79,€33K,67,76,50
27,79,€46K,53,77,50
26,79,€17K,66,74,74
30,79,€33K,76,85,83
26,79,€77K,74,72,75
26,79,€110K,52,64,55
27,79,€35K,75,67,62
28,79,€65K,85,84,80
27,79,€56K,34,55,35
30,79,€34K,76,78,56
27,79,€105K,73,73,82
28,79,€20K,74,83,66
28,79,€32K,65,71,70
28,79,€25K,77,79,85
27,79,€25K,72,75,72
27,79,€61K,76,78,70
27,79,€94K,79,76,46
30,79,€41K,41,39,22
29,79,€27K,76,93,55
28,79,€58K,63,70,36
27,79,€60K,79,82,58
30,79,€66K,51,66,73
26,79,€83K,76,68,65
28,79,€39K,45,63,50
29,79,€44K,69,92,63
27,79,€36K,73,78,52
28,79,€30K,90,83,74
28,79,€1K,71,74,65
29,79,€ 0,80,93,41
28,79,€36K,73,81,68
29,79,€62K,85,76,64
29,79,€32K,43,32,24
28,79,€110K,67,77,53
30,79,€60K,69,71,70
32,79,€57K,74,92,61
28,79,€65K,86,72,62
29,79,€75K,70,69,85
30,79,€57K,71,89,54
30,79,€34K,93,63,56
31,79,€19K,66,77,49
29,79,€35K,64,81,76
32,79,€48K,45,33,21
28,79,€58K,50,70,40
28,79,€27K,36,68,58
28,79,€79K,79,68,80
31,79,€29K,81,78,78
30,79,€90K,75,66,74
30,79,€47K,57,42,22
31,79,€105K,43,43,23
31,79,€31K,79,66,69
28,79,€92K,69,79,56
30,79,€120K,47,75,64
32,79,€1K,53,89,66
29,79,€80K,44,29,26
30,79,€76K,34,31,41
31,79,€52K,52,36,40
29,79,€32K,74,60,39
28,79,€53K,73,78,52
32,79,€30K,60,63,31
29,79,€105K,79,69,74
34,79,€31K,86,63,70
32,79,€45K,54,40,24
31,79,€38K,82,51,84
31,79,€37K,61,68,54
33,79,€22K,87,68,69
32,79,€34K,76,64,85
33,79,€1K,75,69,79
31,79,€55K,77,84,70
32,79,€110K,77,75,60
31,79,€45K,50,28,30
35,79,€22K,84,77,80
34,79,€28K,71,72,62
32,79,€41K,72,69,79
33,79,€25K,49,22,21
34,79,€94K,73,76,64
34,79,€34K,65,57,79
37,79,€23K,68,61,85
24,78,€25K,60,60,77
20,78,€10K,75,85,60
20,78,€46K,86,78,62
24,78,€15K,75,78,58
19,78,€49K,75,84,46
23,78,€12K,94,88,64
20,78,€12K,74,69,60
21,78,€24K,78,92,48
19,78,€12K,55,40,16
19,78,€36K,74,79,55
22,78,€12K,76,71,62
26,78,€27K,51,76,67
30,78,€29K,79,88,64
34,78,€30K,86,75,73
30,78,€34K,86,76,49
25,78,€33K,75,86,53
21,78,€43K,70,84,52
24,78,€15K,75,88,75
21,78,€52K,83,81,48
23,78,€47K,78,82,49
22,78,€51K,68,76,49
27,78,€17K,71,76,68
22,78,€1K,92,72,63
32,78,€15K,30,35,23
25,78,€25K,92,72,77
21,78,€22K,74,96,45
23,78,€15K,78,78,66
21,78,€27K,79,77,65
21,78,€81K,69,66,45
21,78,€61K,64,74,26
21,78,€56K,87,82,61
23,78,€22K,65,75,69
28,78,€19K,53,82,75
25,78,€46K,66,79,58
25,78,€18K,45,43,23
23,78,€25K,79,71,65
25,78,€48K,64,84,73
29,78,€47K,69,82,74
24,78,€20K,78,90,38
29,78,€43K,70,88,58
20,78,€24K,82,74,37
23,78,€68K,53,79,53
29,78,€39K,44,40,20
25,78,€25K,64,64,41
26,78,€23K,76,77,41
22,78,€53K,76,74,71
25,78,€23K,87,81,54
26,78,€44K,62,65,50
23,78,€22K,78,86,56
21,78,€47K,67,73,76
30,78,€15K,77,86,41
22,78,€47K,66,77,46
26,78,€23K,75,92,54
26,78,€22K,55,37,21
25,78,€55K,64,67,54
26,78,€54K,49,67,26
27,78,€41K,64,66,68
23,78,€42K,82,75,57
25,78,€29K,83,80,60
29,78,€25K,36,84,51
24,78,€20K,75,93,32
25,78,€28K,74,70,67
24,78,€1K,35,24,19
22,78,€81K,76,74,59
25,78,€76K,85,93,49
23,78,€29K,75,75,81
23,78,€24K,63,70,39
24,78,€44K,71,75,68
23,78,€18K,57,89,44
25,78,€16K,82,87,78
23,78,€25K,82,80,66
24,78,€22K,77,85,41
24,78,€46K,64,85,40
25,78,€31K,71,81,45
23,78,€50K,87,70,74
26,78,€45K,65,79,67
25,78,€15K,90,44,71
27,78,€10K,63,36,21
23,78,€13K,78,71,64
25,78,€29K,76,79,68
28,78,€44K,71,90,36
22,78,€91K,78,75,70
23,78,€29K,83,68,60
23,78,€26K,64,69,58
25,78,€12K,45,32,13
22,78,€57K,88,75,69
24,78,€48K,75,87,59
23,78,€17K,93,73,75
24,78,€40K,71,77,57
25,78,€78K,79,87,49
25,78,€29K,77,74,65
28,78,€57K,57,66,51
29,78,€39K,65,66,64
24,78,€21K,37,43,31
29,78,€36K,78,75,68
25,78,€38K,66,73,77
29,78,€28K,74,66,72
27,78,€15K,73,76,90
27,78,€31K,59,92,73
27,78,€20K,68,75,77
26,78,€46K,78,90,56
27,78,€24K,43,34,19
26,78,€19K,76,75,64
27,78,€23K,77,82,55
24,78,€39K,67,70,19
24,78,€39K,71,71,42
27,78,€14K,80,67,68
28,78,€32K,68,78,36
27,78,€64K,82,59,69
26,78,€1K,74,80,61
27,78,€30K,82,94,76
26,78,€56K,72,68,68
27,78,€26K,55,75,35
28,78,€48K,56,68,55
28,78,€66K,65,75,76
31,78,€23K,60,74,47
26,78,€46K,47,64,36
31,78,€24K,70,68,62
26,78,€29K,64,64,81
26,78,€17K,52,68,41
26,78,€46K,54,75,54
29,78,€85K,70,70,79
30,78,€1K,76,66,84
26,78,€6K,65,47,13
27,78,€46K,55,73,43
28,78,€1K,59,75,78
29,78,€11K,78,87,76
25,78,€47K,88,76,78
34,78,€26K,76,73,74
26,78,€16K,53,61,46
30,78,€32K,83,71,75
32,78,€31K,74,74,66
27,78,€105K,76,85,75
30,78,€39K,86,92,70
30,78,€30K,68,55,73
30,78,€53K,65,88,59
30,78,€13K,76,83,54
30,78,€32K,38,28,15
40,78,€18K,51,54,64
26,78,€19K,62,91,74
30,78,€28K,67,74,78
30,78,€29K,80,77,70
32,78,€41K,80,60,66
28,78,€36K,91,73,72
27,78,€27K,63,53,64
35,78,€50K,63,41,23
33,78,€19K,72,71,75
32,78,€12K,75,68,76
29,78,€ 0,50,77,77
34,78,€51K,71,79,57
31,78,€23K,62,76,61
31,78,€19K,50,33,23
31,78,€44K,79,69,50
29,78,€18K,60,59,62
29,78,€58K,63,92,60
29,78,€53K,47,65,43
32,78,€1K,54,34,12
31,78,€49K,88,78,63
26,78,€50K,62,76,71
31,78,€1K,70,66,61
30,78,€26K,64,92,81
30,78,€50K,75,74,67
33,78,€45K,77,74,59
27,78,€58K,55,68,35
33,78,€11K,67,70,83
31,78,€54K,79,78,52
32,78,€24K,66,81,71
29,78,€11K,93,74,73
23,77,€41K,75,78,80
31,77,€31K,69,79,72
29,77,€25K,83,80,79
23,77,€15K,74,67,70
31,77,€34K,80,71,58
21,77,€18K,68,77,43
30,77,€29K,73,76,53
28,77,€13K,64,55,48
30,77,€30K,76,71,68
29,77,€27K,73,86,61
24,77,€11K,65,73,66
33,77,€22K,52,67,65
30,77,€26K,65,80,64
23,77,€13K,75,85,53
27,77,€27K,82,69,72
28,77,€49K,91,80,76
34,77,€26K,68,67,80
35,77,€23K,66,54,80
29,77,€75K,76,76,68
35,77,€16K,65,67,38
23,77,€13K,73,85,54
25,77,€45K,91,74,58
27,77,€1K,57,78,41
27,77,€32K,62,66,78
28,77,€27K,48,73,47
29,77,€24K,52,75,72
32,77,€38K,70,38,12
27,77,€22K,85,89,55
21,77,€45K,85,67,74
33,77,€35K,74,81,69
29,77,€19K,89,69,65
26,77,€51K,70,63,72
37,77,€25K,56,27,41
28,77,€49K,71,76,72
28,77,€26K,74,80,71
34,77,€28K,64,69,60
25,77,€51K,76,83,75
24,77,€34K,75,78,65
25,77,€17K,71,78,66
27,77,€95K,76,74,70
23,77,€10K,51,79,47
28,77,€23K,31,71,42
27,77,€53K,91,86,61
26,77,€19K,40,31,22
21,77,€44K,75,78,61
32,77,€24K,72,74,59
30,77,€26K,67,89,77
32,77,€23K,79,70,78
26,77,€22K,83,77,64
29,77,€25K,41,76,51
27,77,€47K,66,93,65
33,77,€74K,69,64,90
30,77,€65K,57,64,39
27,77,€51K,68,75,37
31,77,€22K,72,75,70
21,77,€19K,66,78,37
32,77,€17K,74,80,78
34,77,€10K,77,71,76
29,77,€80K,57,50,73
30,77,€ 0,69,72,47
34,77,€1K,56,37,15
33,77,€6K,72,67,72
23,77,€15K,69,42,24
27,77,€17K,73,68,77
21,77,€15K,67,67,51
25,77,€76K,65,92,62
28,77,€24K,68,79,72
27,77,€22K,38,43,24
28,77,€1K,54,75,66
24,77,€41K,76,78,58
24,77,€24K,72,74,62
30,77,€35K,81,73,67
30,77,€34K,85,73,73
23,77,€38K,77,85,70
28,77,€41K,75,76,77
33,77,€31K,60,51,83
28,77,€41K,66,72,65
30,77,€26K,72,68,61
30,77,€22K,79,83,67
34,77,€20K,58,53,62
23,77,€44K,69,74,46
28,77,€14K,32,64,38
26,77,€19K,67,79,78
30,77,€24K,67,40,19
27,77,€75K,77,77,56
33,77,€20K,85,69,69
21,77,€11K,85,70,60
28,77,€27K,67,68,75
32,77,€22K,64,76,61
28,77,€1K,67,80,51
28,77,€33K,54,79,50
32,77,€30K,58,55,44
22,77,€1K,77,74,57
30,77,€30K,60,65,43
34,77,€44K,44,43,23
30,77,€42K,75,87,46
34,77,€13K,70,74,65
30,77,€24K,64,75,75
37,77,€3K,67,57,84
32,77,€22K,60,68,59
34,77,€50K,77,73,83
24,77,€28K,70,77,76
